Ref,Val,Package,PosX,PosY,Rot,Side
"C1","330n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",168.380500,-128.524000,180.000000,top
"C2","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",168.402000,-137.160000,180.000000,top
"C3","2.2u","CP_Radial_D6.3mm_P2.50mm",153.500000,-143.000000,90.000000,top
"C4","1u","CP_Radial_D6.3mm_P2.50mm",165.500000,-141.317621,-90.000000,top
"C9","330n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",138.430000,-128.524000,180.000000,top
"C10","2.2u","CP_Radial_D6.3mm_P2.50mm",111.500000,-129.817621,-90.000000,top
"C11","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",138.430000,-137.160000,180.000000,top
"C12","1u","CP_Radial_D6.3mm_P2.50mm",119.750000,-131.317621,-90.000000,top
"J1","Conn_Coaxial_Power","BNC_Molex_0731385033",117.000000,-143.000000,180.000000,top
"J2","Conn_Coaxial_Power","BNC_Molex_0731385033",97.000000,-143.000000,180.000000,top
"J3","Conn_01x10_Pin","JST_ZH_B10B-ZR_1x10_P1.50mm_Vertical",106.300000,-119.600000,180.000000,top
"J4","Conn_01x10_Pin","JST_ZH_B10B-ZR_1x10_P1.50mm_Vertical",128.500000,-119.600000,180.000000,top
"J5","Conn_01x10_Pin","JST_ZH_B10B-ZR_1x10_P1.50mm_Vertical",150.700000,-119.600000,180.000000,top
"J6","Conn_01x10_Pin","JST_ZH_B10B-ZR_1x10_P1.50mm_Vertical",172.900000,-119.600000,180.000000,top
"Q1","AO3400A","SOT-23",145.500000,-142.500000,-90.000000,top
"Q2","AO3400A","SOT-23",97.000000,-133.000000,-90.000000,top
"Q5","SI4459ADY","SOIC-8_3.9x4.9mm_P1.27mm",133.000000,-141.500000,180.000000,top
"R1","1M","R_0603_1608Metric",139.000000,-144.000000,0.000000,top
"R2","1M","R_0603_1608Metric",148.500000,-145.500000,0.000000,top
"R3","1M","R_0603_1608Metric",100.325000,-131.000000,0.000000,top
"U1","L7805","TO-220-3_Vertical",172.000000,-130.250000,-90.000000,top
"U2","L7905","TO-220-3_Vertical",157.000000,-130.250000,-90.000000,top
"U3","L7812","TO-220-3_Vertical",142.000000,-130.250000,-90.000000,top
"U4","L7912","TO-220-3_Vertical",127.000000,-130.250000,-90.000000,top
